epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,768.108,1.02678,1.08935,1.32367,0.77989,0.5974,0.66453,0.50746,0.96384,1.38109,1.1759,0.0013367,0.0013367,0.0013367
69,779.2,1.00615,1.02479,1.29457,0.88965,0.52356,0.64372,0.49878,0.95819,1.42969,1.14531,0.0013268,0.0013268,0.0013268
70,790.305,0.99766,1.01068,1.28882,0.83649,0.77922,0.83726,0.68475,0.78301,0.81346,0.9692,0.0013169,0.0013169,0.0013169
71,801.354,0.94665,0.94915,1.25501,0.92365,0.71429,0.87277,0.69632,0.79419,0.78029,0.98385,0.001307,0.001307,0.001307
72,812.514,0.99787,0.92749,1.32172,0.8707,0.78713,0.87986,0.6835,0.8746,0.82172,1.04699,0.0012971,0.0012971,0.0012971
73,823.578,1.06756,1.04184,1.34011,0.83785,0.81818,0.87192,0.70022,0.83128,0.80894,1.00873,0.0012872,0.0012872,0.0012872
74,834.657,0.94579,0.9564,1.2417,0.78598,0.72727,0.75886,0.58687,0.77901,1.25366,1.03623,0.0012773,0.0012773,0.0012773
75,845.711,0.99724,1.00512,1.26203,0.91482,0.69743,0.79811,0.6428,0.79613,1.13294,1.03653,0.0012674,0.0012674,0.0012674
76,856.834,0.97955,0.9999,1.29321,0.92102,0.75731,0.90781,0.7358,0.75644,0.67418,0.97093,0.0012575,0.0012575,0.0012575
77,868.977,0.95687,0.98697,1.26022,0.88748,0.81947,0.93214,0.75771,0.71289,0.66004,0.94835,0.0012476,0.0012476,0.0012476
78,881.181,0.94997,0.92652,1.28461,0.90515,0.74366,0.86401,0.66901,0.81212,0.84412,1.02735,0.0012377,0.0012377,0.0012377
79,892.266,0.92683,0.89499,1.26529,0.92719,0.83117,0.91818,0.76245,0.6982,0.60565,0.92718,0.0012278,0.0012278,0.0012278
80,904.376,1.03638,0.94361,1.33385,0.98447,0.7013,0.83769,0.68872,0.76765,0.78534,0.97581,0.0012179,0.0012179,0.0012179
81,915.482,0.90076,0.89259,1.22583,0.85822,0.62894,0.71051,0.55412,0.92313,1.21265,1.10388,0.001208,0.001208,0.001208
82,926.593,0.95508,0.83812,1.26812,0.88917,0.66234,0.73928,0.59051,0.92318,1.04402,1.09763,0.0011981,0.0011981,0.0011981
83,937.631,0.8906,0.92213,1.19414,0.92751,0.8309,0.90546,0.7358,0.74897,0.6233,0.93588,0.0011882,0.0011882,0.0011882
84,948.713,0.90217,0.8376,1.24518,0.92198,0.80519,0.89984,0.7341,0.78827,0.66743,0.99378,0.0011783,0.0011783,0.0011783
85,959.788,0.9946,0.96535,1.27921,0.86655,0.76623,0.88668,0.71135,0.73538,0.77818,0.94034,0.0011684,0.0011684,0.0011684
86,970.902,0.93098,0.8805,1.21914,0.95805,0.59331,0.76143,0.58124,0.94002,1.07104,1.13958,0.0011585,0.0011585,0.0011585
87,982.022,0.96635,0.88944,1.29711,0.86768,0.87013,0.92793,0.72068,0.74205,0.6912,0.94754,0.0011486,0.0011486,0.0011486
88,993.141,0.93375,0.8453,1.24394,0.91487,0.79221,0.87145,0.70109,0.72359,0.69304,0.93883,0.0011387,0.0011387,0.0011387
89,1004.19,0.94564,0.86948,1.24906,0.84561,0.5974,0.70568,0.52168,1.01353,1.19303,1.18614,0.0011288,0.0011288,0.0011288
90,1015.32,0.85115,0.84168,1.19731,0.87457,0.72727,0.859,0.68805,0.79045,0.78846,0.9754,0.0011189,0.0011189,0.0011189
91,1026.35,0.91219,0.77933,1.23414,0.97152,0.68831,0.84251,0.68274,0.79212,0.79784,1.00189,0.001109,0.001109,0.001109
92,1037.44,0.87952,0.84046,1.23519,0.8755,0.81818,0.91802,0.75188,0.69679,0.64012,0.91213,0.0010991,0.0010991,0.0010991
93,1048.56,0.90763,0.81027,1.24391,0.92576,0.80982,0.91207,0.73995,0.74176,0.5959,0.93341,0.0010892,0.0010892,0.0010892
