epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,844.38,0.06306,0.07644,0.55491,0.99826,0.80435,0.89936,0.85752,0.31878,0.42976,0.71661,0.00161885,0.00161885,0.00161885
79,855.005,0.06346,0.07681,0.54936,0.99806,0.80435,0.90868,0.8681,0.32035,0.44853,0.71666,0.0016139,0.0016139,0.0016139
80,865.728,0.06564,0.07675,0.54865,0.99629,0.80435,0.91769,0.87085,0.30422,0.44516,0.71909,0.00160895,0.00160895,0.00160895
81,876.316,0.066,0.07948,0.55305,0.97435,0.82592,0.92834,0.88105,0.31506,0.42319,0.72424,0.001604,0.001604,0.001604
82,888.042,0.06106,0.07533,0.5504,0.99882,0.80435,0.93269,0.88595,0.30812,0.45754,0.7292,0.00159905,0.00159905,0.00159905
83,899.722,0.06262,0.07738,0.55468,0.9973,0.80435,0.92285,0.87682,0.30953,0.45467,0.72884,0.0015941,0.0015941,0.0015941
84,910.47,0.06651,0.08038,0.5493,0.97223,0.82609,0.91861,0.87521,0.33349,0.46119,0.73716,0.00158915,0.00158915,0.00158915
85,921.038,0.0659,0.08225,0.55115,0.99885,0.80435,0.90677,0.86471,0.31343,0.46246,0.72327,0.0015842,0.0015842,0.0015842
86,931.745,0.06392,0.08076,0.55306,1,0.82517,0.92411,0.8769,0.3085,0.433,0.72214,0.00157925,0.00157925,0.00157925
87,942.339,0.05989,0.07858,0.54662,1,0.82508,0.91755,0.87305,0.32444,0.45017,0.72952,0.0015743,0.0015743,0.0015743
88,952.988,0.06384,0.0796,0.55218,0.97433,0.82527,0.92788,0.87783,0.35093,0.46984,0.74611,0.00156935,0.00156935,0.00156935
89,963.754,0.07535,0.09149,0.55294,0.97486,0.84321,0.92829,0.87706,0.32914,0.39794,0.732,0.0015644,0.0015644,0.0015644
90,974.622,0.07339,0.09097,0.54973,0.97232,0.80435,0.91,0.86859,0.33966,0.5019,0.74113,0.00155945,0.00155945,0.00155945
