epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,246.195,0.88347,0.75154,1.08108,0.75744,0.64935,0.69115,0.49195,0.97469,1.08525,1.11697,0.0014654,0.0014654,0.0014654
56,250.707,0.85414,0.74278,1.08107,0.88069,0.86281,0.92357,0.71495,0.83439,0.64386,1.01341,0.0014555,0.0014555,0.0014555
57,255.13,0.82137,0.69607,1.07531,0.88999,0.80519,0.91325,0.75968,0.64907,0.61024,0.89855,0.0014456,0.0014456,0.0014456
58,259.622,0.80849,0.64585,1.01066,0.91965,0.89194,0.95386,0.70887,0.70384,0.56111,0.9635,0.0014357,0.0014357,0.0014357
59,264.038,0.82079,0.65965,1.03686,0.97792,0.88312,0.95609,0.73776,0.78123,0.50048,1.00221,0.0014258,0.0014258,0.0014258
60,268.535,0.81113,0.659,1.02346,0.94171,0.83926,0.94026,0.71006,0.80981,0.7162,1.01092,0.0014159,0.0014159,0.0014159
61,272.996,0.80844,0.6615,1.02041,0.92412,0.83117,0.92018,0.681,0.89326,0.61225,1.02659,0.001406,0.001406,0.001406
62,277.465,0.82363,0.6843,1.0314,0.90655,0.88312,0.93549,0.70669,0.76404,0.55258,0.96048,0.0013961,0.0013961,0.0013961
63,281.876,0.82364,0.68454,1.0377,0.95667,0.86024,0.9514,0.76296,0.67735,0.57575,0.90911,0.0013862,0.0013862,0.0013862
64,286.43,0.8746,0.71793,1.06454,0.89941,0.81285,0.90751,0.70362,0.7291,0.61594,0.97459,0.0013763,0.0013763,0.0013763
65,290.83,0.87525,0.73723,1.06248,0.97033,0.84936,0.94984,0.76905,0.69186,0.58269,0.91358,0.0013664,0.0013664,0.0013664
66,295.417,0.81132,0.66295,1.03796,0.91619,0.85714,0.94589,0.76109,0.6921,0.52377,0.93233,0.0013565,0.0013565,0.0013565
67,299.856,0.81398,0.63961,1.04086,0.98607,0.91921,0.96191,0.77852,0.68181,0.49417,0.93287,0.0013466,0.0013466,0.0013466
68,304.466,0.8139,0.66975,1.03472,0.95372,0.87013,0.9467,0.74334,0.70867,0.53531,0.9732,0.0013367,0.0013367,0.0013367
69,308.896,0.80783,0.6647,1.03698,0.97232,0.91255,0.95936,0.80882,0.58827,0.51268,0.89444,0.0013268,0.0013268,0.0013268
70,313.457,0.82138,0.69332,1.02042,0.9428,0.85623,0.93542,0.75454,0.76291,0.62428,0.95502,0.0013169,0.0013169,0.0013169
71,317.881,0.84754,0.65734,1.03281,0.87509,0.85714,0.90805,0.68266,0.81315,0.68374,0.98113,0.001307,0.001307,0.001307
72,322.33,0.82862,0.66175,1.02448,0.8803,0.88312,0.92706,0.71054,0.73098,0.52774,0.95334,0.0012971,0.0012971,0.0012971
73,326.734,0.81387,0.62592,1.03427,0.94426,0.88006,0.95499,0.74211,0.69594,0.45276,0.9427,0.0012872,0.0012872,0.0012872
74,331.142,0.67985,0.53483,0.96585,0.96398,0.90909,0.97365,0.80863,0.66963,0.41966,0.91098,0.0012773,0.0012773,0.0012773
75,335.657,0.70939,0.54349,0.98806,0.94716,0.93112,0.96747,0.8041,0.6622,0.52508,0.91798,0.0012674,0.0012674,0.0012674
76,340.082,0.77769,0.61811,1.02187,0.96376,0.92208,0.98905,0.80456,0.67386,0.45506,0.89886,0.0012575,0.0012575,0.0012575
77,344.508,0.76379,0.60632,1.01526,0.93332,0.94805,0.98232,0.80607,0.66184,0.49072,0.89413,0.0012476,0.0012476,0.0012476
78,348.969,0.77406,0.6317,1.00491,0.94429,0.90909,0.97033,0.78329,0.69077,0.47042,0.91275,0.0012377,0.0012377,0.0012377
79,353.386,0.75704,0.62654,1.02199,0.98702,0.92208,0.98934,0.83516,0.53145,0.38688,0.85388,0.0012278,0.0012278,0.0012278
80,357.905,0.74554,0.57355,0.99957,0.94119,0.8961,0.9528,0.7723,0.65024,0.47379,0.93616,0.0012179,0.0012179,0.0012179
81,362.35,0.7361,0.58122,1.01261,0.9595,0.92315,0.97552,0.79235,0.7168,0.4563,0.93936,0.001208,0.001208,0.001208
82,366.795,0.72296,0.55355,0.98165,1,0.93419,0.98272,0.80796,0.69951,0.42814,0.93448,0.0011981,0.0011981,0.0011981
83,371.228,0.7441,0.54018,0.9916,0.95922,0.91639,0.96446,0.80814,0.64489,0.47028,0.91587,0.0011882,0.0011882,0.0011882
84,375.661,0.77513,0.58084,1.00349,0.96637,0.92208,0.94733,0.76813,0.7505,0.47779,0.94623,0.0011783,0.0011783,0.0011783
85,380.08,0.72411,0.57791,0.99264,0.89611,0.88312,0.92815,0.72403,0.7914,0.51429,0.96257,0.0011684,0.0011684,0.0011684
86,384.534,0.73586,0.58454,0.99539,0.96707,0.8961,0.94317,0.77583,0.64764,0.47504,0.90055,0.0011585,0.0011585,0.0011585
87,388.935,0.70655,0.56032,0.98522,0.99792,0.87013,0.93268,0.75852,0.585,0.48287,0.88462,0.0011486,0.0011486,0.0011486
88,393.392,0.79053,0.61647,1.0302,0.91783,0.87044,0.95052,0.78818,0.62227,0.47204,0.91491,0.0011387,0.0011387,0.0011387
89,397.802,0.68022,0.53961,0.95618,0.94494,0.89163,0.96628,0.78619,0.66704,0.42725,0.94172,0.0011288,0.0011288,0.0011288
90,402.225,0.66479,0.52235,0.94775,0.94003,0.8961,0.96188,0.8039,0.61382,0.41067,0.90415,0.0011189,0.0011189,0.0011189
91,406.645,0.67273,0.54704,0.97352,0.97219,0.90807,0.95862,0.81342,0.60455,0.46151,0.91084,0.001109,0.001109,0.001109
92,411.064,0.69599,0.52984,0.98589,0.94531,0.8961,0.95485,0.8032,0.61374,0.46907,0.92618,0.0010991,0.0010991,0.0010991
93,415.463,0.66731,0.52639,0.95797,0.98538,0.87537,0.95326,0.74921,0.67866,0.47522,0.95792,0.0010892,0.0010892,0.0010892
94,419.894,0.69187,0.58044,0.97054,0.92149,0.91461,0.95304,0.78995,0.6314,0.44812,0.9079,0.0010793,0.0010793,0.0010793
95,424.282,0.62376,0.54428,0.95728,0.97,0.85714,0.95479,0.81186,0.60246,0.47288,0.89125,0.0010694,0.0010694,0.0010694
96,428.698,0.69716,0.54628,0.97276,0.89769,0.93506,0.96811,0.82347,0.54868,0.50504,0.87501,0.0010595,0.0010595,0.0010595
97,433.11,0.65738,0.51599,0.97131,0.95794,0.88731,0.96309,0.80787,0.60926,0.54094,0.90606,0.0010496,0.0010496,0.0010496
98,437.567,0.62478,0.50388,0.95125,0.98442,0.93506,0.9804,0.81849,0.61302,0.399,0.88778,0.0010397,0.0010397,0.0010397
99,442.007,0.65283,0.50219,0.95702,0.98063,0.94805,0.98796,0.87756,0.50401,0.36548,0.84911,0.0010298,0.0010298,0.0010298
100,446.565,0.61485,0.48395,0.93667,0.98603,0.91702,0.98256,0.88597,0.44603,0.34766,0.82858,0.0010199,0.0010199,0.0010199
101,451.09,0.63673,0.46929,0.95252,0.9719,0.89844,0.97288,0.83038,0.50966,0.38057,0.84905,0.00101,0.00101,0.00101
102,455.543,0.66929,0.48631,0.96224,0.98566,0.96104,0.98884,0.85317,0.51096,0.344,0.84658,0.0010001,0.0010001,0.0010001
103,459.939,0.61982,0.48632,0.93436,0.979,0.94805,0.98628,0.84683,0.5252,0.34929,0.86176,0.0009902,0.0009902,0.0009902
104,464.386,0.62801,0.46628,0.92063,0.97266,0.96104,0.97873,0.83749,0.57122,0.36034,0.85493,0.0009803,0.0009803,0.0009803
105,468.776,0.68182,0.58091,0.95449,0.9895,0.93506,0.982,0.84526,0.56219,0.39099,0.86631,0.0009704,0.0009704,0.0009704
106,473.211,0.71035,0.53027,0.985,0.98644,0.94493,0.98622,0.84519,0.60091,0.43533,0.8733,0.0009605,0.0009605,0.0009605
107,477.597,0.5807,0.46182,0.92605,0.98628,0.93378,0.98367,0.85505,0.52544,0.37782,0.84704,0.0009506,0.0009506,0.0009506
108,482.056,0.6464,0.50792,0.95952,0.95886,0.92208,0.98029,0.83522,0.54331,0.39466,0.86899,0.0009407,0.0009407,0.0009407
109,486.477,0.62605,0.47391,0.95041,0.97328,0.93506,0.97805,0.85074,0.49911,0.37523,0.85282,0.0009308,0.0009308,0.0009308
110,490.911,0.63267,0.50825,0.96438,0.95813,0.90909,0.97005,0.83004,0.53265,0.42236,0.88328,0.0009209,0.0009209,0.0009209
111,495.299,0.63167,0.51574,0.95013,0.95491,0.90909,0.9666,0.83859,0.50939,0.40122,0.85454,0.000911,0.000911,0.000911
112,499.725,0.58556,0.46157,0.91847,0.97258,0.92208,0.97373,0.83221,0.50745,0.35812,0.84223,0.0009011,0.0009011,0.0009011
113,504.144,0.58979,0.49134,0.93612,0.96069,0.95228,0.97532,0.84355,0.54315,0.34567,0.86045,0.0008912,0.0008912,0.0008912
114,508.59,0.57841,0.46011,0.92399,0.99063,0.92208,0.98721,0.88966,0.46727,0.30479,0.82565,0.0008813,0.0008813,0.0008813
115,513.11,0.59455,0.45885,0.93673,0.95842,0.94805,0.97526,0.85238,0.48041,0.34003,0.8482,0.0008714,0.0008714,0.0008714
116,517.545,0.59372,0.46506,0.92609,0.91833,0.90909,0.9441,0.80588,0.52577,0.4463,0.8714,0.0008615,0.0008615,0.0008615
117,521.977,0.62822,0.50093,0.95826,0.95766,0.92208,0.96999,0.8179,0.53876,0.36955,0.91035,0.0008516,0.0008516,0.0008516
118,526.407,0.56653,0.44708,0.92141,1,0.9309,0.97543,0.85464,0.51083,0.3237,0.86613,0.0008417,0.0008417,0.0008417
119,530.832,0.58737,0.44654,0.91781,1,0.93477,0.97871,0.87655,0.4516,0.31222,0.83504,0.0008318,0.0008318,0.0008318
120,535.249,0.59664,0.45678,0.91913,0.99576,0.90909,0.96355,0.82416,0.54255,0.34775,0.86853,0.0008219,0.0008219,0.0008219
121,539.652,0.58673,0.45786,0.94412,0.97217,0.9075,0.95945,0.83675,0.55184,0.39929,0.89467,0.000812,0.000812,0.000812
122,544.118,0.59801,0.44441,0.93538,0.99709,0.92208,0.98286,0.85855,0.5161,0.34388,0.86243,0.0008021,0.0008021,0.0008021
123,548.588,0.62237,0.45214,0.93499,0.99286,0.93506,0.98884,0.87534,0.50529,0.32562,0.86182,0.0007922,0.0007922,0.0007922
